demand_idx,demand_id,facility_idx,facility_id
0,06600191,314,06331054
1,06600198,151,06670805
2,07763050,151,06670805
3,07810101,314,06331054
4,06750315,314,06331054
5,06750408,314,06331054
6,07790174,151,06670805
7,07330201,62,06761054
8,07340201,109,06910205
9,07350105,62,06761054
10,07360191,62,06761054
11,07894052,62,06761054
12,06234052,314,06331054
13,06231052,314,06331054
14,06230109,314,06331054
15,06030302,109,06910205
16,07640191,151,06670805
17,06170288,50,06364050
18,06180190,151,06670805
19,07653050,314,06331054
20,07211052,50,06364050
21,07840111,109,06910205
22,06020103,109,06910205
23,06370111,62,06761054
24,06340195,109,06910205
25,06080114,314,06331054
26,06080105,314,06331054
27,06100101,109,06910205
28,06190113,62,06761054
29,06200295,109,06910205
30,06210101,109,06910205
31,06225054,314,06331054
32,06223050,314,06331054
33,06222052,314,06331054
34,06220212,109,06910205
35,06220189,109,06910205
36,07661050,314,06331054
37,06285050,314,06331054
38,06280197,314,06331054
39,06280191,314,06331054
40,06280176,314,06331054
41,06280115,314,06331054
42,06280106,151,06670805
43,07690211,109,06910205
44,06295556,151,06670805
45,06290104,109,06910205
46,06290102,151,06670805
47,07501052,109,06910205
48,07510101,109,06910205
49,07520108,62,06761054
50,06364050,50,06364050
51,06360197,50,06364050
52,06360189,50,06364050
53,06360183,50,06364050
54,06360112,50,06364050
55,06240287,109,06910205
56,06255060,109,06910205
57,06253056,109,06910205
58,06250513,109,06910205
59,06250411,109,06910205
60,06250210,109,06910205
61,06252052,109,06910205
62,06761054,62,06761054
63,06250117,109,06910205
64,06250101,109,06910205
65,06260206,62,06761054
66,06271050,314,06331054
67,06870197,109,06910205
68,06870110,62,06761054
69,06880209,109,06910205
70,06880193,62,06761054
71,06890192,109,06910205
72,06900110,50,06364050
73,06605069,109,06910205
74,06604062,314,06331054
75,06601321,109,06910205
76,06601320,109,06910205
77,06601110,314,06331054
78,06600910,151,06670805
79,06600691,314,06331054
80,06600392,151,06670805
81,06600386,109,06910205
82,06600291,109,06910205
83,06600205,151,06670805
84,06600203,151,06670805
85,06600176,314,06331054
86,06600119,151,06670805
87,06600106,151,06670805
88,06942060,62,06761054
89,06955050,151,06670805
90,06753050,314,06331054
91,06750391,314,06331054
92,06750307,151,06670805
93,06750214,314,06331054
94,06750105,314,06331054
95,06750104,314,06331054
96,06750101,314,06331054
97,06750295,314,06331054
98,06764056,62,06761054
99,06762052,62,06761054
100,06760192,62,06761054
101,06760111,62,06761054
102,06772050,109,06910205
103,06780191,151,06670805
104,06790108,151,06670805
105,06810196,50,06364050
106,06820201,109,06910205
107,06830201,109,06910205
108,06860201,109,06910205
109,06910205,109,06910205
110,06925050,109,06910205
111,06492050,62,06761054
112,07740211,109,06910205
113,06501050,109,06910205
114,06510390,109,06910205
115,06510197,109,06910205
116,06520176,50,06364050
117,06530189,109,06910205
118,06542050,109,06910205
119,06550176,151,06670805
120,06560398,314,06331054
121,06560198,109,06910205
122,06560192,109,06910205
123,06560182,314,06331054
124,06560105,314,06331054
125,06585050,151,06670805
126,06580704,151,06670805
127,06580702,151,06670805
128,06580214,151,06670805
129,06580195,151,06670805
130,06580190,151,06670805
131,06580107,151,06670805
132,06593050,151,06670805
133,06610196,151,06670805
134,06633552,109,06910205
135,06640286,314,06331054
136,06640106,314,06331054
137,06651050,62,06761054
138,06660401,109,06910205
139,06675550,151,06670805
140,06674556,151,06670805
141,06674052,151,06670805
142,06673750,151,06670805
143,06672558,151,06670805
144,06671819,151,06670805
145,06671814,151,06670805
146,06671710,151,06670805
147,06671410,151,06670805
148,06671050,151,06670805
149,06671019,151,06670805
150,06671018,151,06670805
151,06670805,151,06670805
152,06670195,151,06670805
153,06670189,109,06910205
154,06670187,151,06670805
155,06670185,151,06670805
156,06670182,151,06670805
157,06670176,151,06670805
158,06670105,151,06670805
159,06670103,151,06670805
160,06670101,151,06670805
161,06671820,151,06670805
162,06930101,151,06670805
163,07030201,109,06910205
164,06994050,62,06761054
165,06990300,314,06331054
166,06310377,314,06331054
167,07000210,109,06910205
168,07010282,109,06910205
169,07020184,62,06761054
170,07041050,151,06670805
171,07050190,109,06910205
172,07050112,314,06331054
173,07065062,62,06761054
174,07065052,62,06761054
175,07063054,62,06761054
176,07062062,62,06761054
177,07061064,62,06761054
178,07060378,62,06761054
179,07060278,62,06761054
180,07060203,62,06761054
181,07070295,151,06670805
182,07070206,151,06670805
183,07070173,151,06670805
184,07080293,151,06670805
185,07080105,151,06670805
186,07130182,109,06910205
187,07140194,62,06761054
188,07140296,109,06910205
189,07155050,314,06331054
190,07150102,314,06331054
191,07162050,109,06910205
192,07170114,151,06670805
193,07180110,109,06910205
194,07190177,151,06670805
195,07200201,109,06910205
196,07215566,50,06364050
197,07213756,50,06364050
198,07213054,50,06364050
199,07212574,50,06364050
200,07212056,50,06364050
201,07210100,50,06364050
202,07223052,151,06670805
203,07220192,151,06670805
204,07220176,151,06670805
205,07092050,151,06670805
206,07102552,314,06331054
207,07100292,314,06331054
208,07100109,314,06331054
209,07100106,314,06331054
210,07100101,314,06331054
211,07112052,62,06761054
212,07850193,314,06331054
213,06840192,62,06761054
214,06850175,109,06910205
215,07120198,151,06670805
216,06800199,109,06910205
217,07244052,109,06910205
218,07860300,151,06670805
219,07275050,151,06670805
220,07290397,62,06761054
221,07320194,109,06910205
222,07370199,62,06761054
223,07380192,109,06910205
224,07390204,151,06670805
225,07910301,314,06331054
226,07411052,314,06331054
227,07410387,314,06331054
228,07410201,314,06331054
229,07423050,109,06910205
230,07430201,62,06761054
231,07440101,151,06670805
232,07533052,109,06910205
233,07540105,151,06670805
234,07550275,314,06331054
235,07550212,314,06331054
236,07550175,314,06331054
237,07550112,314,06331054
238,07560201,62,06761054
239,07583050,109,06910205
240,07590176,62,06761054
241,06010103,109,06910205
242,06400196,62,06761054
243,06410195,109,06910205
244,07611412,314,06331054
245,07614560,314,06331054
246,07614058,314,06331054
247,07611413,314,06331054
248,07611409,314,06331054
249,07610315,314,06331054
250,07610192,314,06331054
251,07610186,314,06331054
252,07610182,314,06331054
253,07610106,314,06331054
254,07672050,314,06331054
255,07260101,314,06331054
256,07260187,109,06910205
257,06433050,62,06761054
258,06970192,50,06364050
259,06050189,62,06761054
260,06450103,62,06761054
261,06460182,62,06761054
262,06474062,62,06761054
263,06471058,62,06761054
264,06484050,314,06331054
265,06480212,314,06331054
266,06480187,314,06331054
267,06480100,314,06331054
268,06682052,151,06670805
269,06694752,151,06670805
270,06691556,151,06670805
271,06691552,109,06910205
272,06690391,151,06670805
273,06690202,151,06670805
274,06690189,151,06670805
275,06690102,151,06670805
276,06700288,109,06910205
277,06713050,314,06331054
278,06720299,62,06761054
279,06733050,151,06670805
280,06740110,109,06910205
281,06110386,62,06761054
282,06110286,109,06910205
283,06110204,62,06761054
284,06110198,62,06761054
285,06110186,62,06761054
286,06110105,62,06761054
287,06120105,62,06761054
288,06131050,109,06910205
289,07630201,314,06331054
290,06140110,109,06910205
291,06150502,109,06910205
292,06150182,109,06910205
293,07710112,151,06670805
294,06385054,314,06331054
295,06380389,314,06331054
296,06380196,314,06331054
297,06390193,109,06910205
298,07450195,109,06910205
299,07920273,109,06910205
300,06314058,314,06331054
301,06312052,314,06331054
302,06311056,314,06331054
303,06311054,314,06331054
304,06310290,314,06331054
305,06310190,314,06331054
306,06310115,314,06331054
307,06310104,314,06331054
308,06334066,314,06331054
309,06333056,314,06331054
310,06332066,314,06331054
311,06332056,314,06331054
312,06331069,314,06331054
313,06331064,314,06331054
314,06331054,314,06331054
315,06330707,314,06331054
316,06330381,314,06331054
317,06330373,314,06331054
318,06330209,314,06331054
319,06330192,314,06331054
320,06330188,314,06331054
321,06330175,314,06331054
322,06330103,314,06331054
323,06330101,314,06331054
324,06340308,109,06910205
325,06351554,62,06761054
326,07724050,314,06331054
327,06420198,151,06670805
328,06445067,314,06331054
329,06445055,314,06331054
330,06445052,314,06331054
331,06444069,314,06331054
332,06444054,314,06331054
333,06444053,151,06670805
334,06443070,314,06331054
335,06443060,314,06331054
336,06442055,314,06331054
337,06442054,314,06331054
338,06441070,151,06670805
339,06440810,151,06670805
340,06440497,151,06670805
341,06440276,151,06670805
342,06440202,151,06670805
343,06440176,151,06670805
344,06440172,314,06331054
345,06440105,151,06670805
346,06440103,314,06331054
347,07733050,314,06331054
348,07280201,109,06910205
349,07480195,109,06910205
350,07490205,109,06910205
351,06060199,109,06910205
352,06070101,151,06670805
353,06073052,151,06670805
354,06080198,314,06331054
355,07460198,109,06910205
356,07460190,314,06331054
357,07470205,151,06670805
358,07470199,151,06670805
359,07470111,151,06670805
