demand_idx,demand_id,facility_idx,facility_id
0,06600191,3,07810101
1,06600198,153,06670189
2,07763050,153,06670189
3,07810101,3,07810101
4,06750315,153,06670189
5,06750408,153,06670189
6,07790174,153,06670189
7,07330201,101,06760111
8,07340201,153,06670189
9,07350105,180,07060203
10,07360191,101,06760111
11,07894052,101,06760111
12,06234052,3,07810101
13,06231052,3,07810101
14,06230109,3,07810101
15,06030302,101,06760111
16,07640191,153,06670189
17,06170288,118,06542050
18,06180190,153,06670189
19,07653050,3,07810101
20,07211052,118,06542050
21,07840111,101,06760111
22,06020103,101,06760111
23,06370111,101,06760111
24,06340195,118,06542050
25,06080114,3,07810101
26,06080105,3,07810101
27,06100101,101,06760111
28,06190113,180,07060203
29,06200295,118,06542050
30,06210101,118,06542050
31,06225054,3,07810101
32,06223050,3,07810101
33,06222052,3,07810101
34,06220212,153,06670189
35,06220189,153,06670189
36,07661050,3,07810101
37,06285050,3,07810101
38,06280197,3,07810101
39,06280191,3,07810101
40,06280176,3,07810101
41,06280115,3,07810101
42,06280106,3,07810101
43,07690211,153,06670189
44,06295556,153,06670189
45,06290104,153,06670189
46,06290102,153,06670189
47,07501052,153,06670189
48,07510101,118,06542050
49,07520108,180,07060203
50,06364050,118,06542050
51,06360197,118,06542050
52,06360189,118,06542050
53,06360183,118,06542050
54,06360112,118,06542050
55,06240287,118,06542050
56,06255060,118,06542050
57,06253056,118,06542050
58,06250513,118,06542050
59,06250411,118,06542050
60,06250210,118,06542050
61,06252052,153,06670189
62,06761054,101,06760111
63,06250117,118,06542050
64,06250101,153,06670189
65,06260206,180,07060203
66,06271050,3,07810101
67,06870197,101,06760111
68,06870110,101,06760111
69,06880209,153,06670189
70,06880193,101,06760111
71,06890192,153,06670189
72,06900110,153,06670189
73,06605069,153,06670189
74,06604062,3,07810101
75,06601321,153,06670189
76,06601320,153,06670189
77,06601110,3,07810101
78,06600910,153,06670189
79,06600691,3,07810101
80,06600392,153,06670189
81,06600386,153,06670189
82,06600291,153,06670189
83,06600205,153,06670189
84,06600203,153,06670189
85,06600176,3,07810101
86,06600119,153,06670189
87,06600106,3,07810101
88,06942060,101,06760111
89,06955050,153,06670189
90,06753050,153,06670189
91,06750391,153,06670189
92,06750307,153,06670189
93,06750214,153,06670189
94,06750105,153,06670189
95,06750104,153,06670189
96,06750101,153,06670189
97,06750295,153,06670189
98,06764056,101,06760111
99,06762052,101,06760111
100,06760192,101,06760111
101,06760111,101,06760111
102,06772050,101,06760111
103,06780191,153,06670189
104,06790108,153,06670189
105,06810196,118,06542050
106,06820201,101,06760111
107,06830201,101,06760111
108,06860201,118,06542050
109,06910205,101,06760111
110,06925050,101,06760111
111,06492050,180,07060203
112,07740211,101,06760111
113,06501050,118,06542050
114,06510390,118,06542050
